到达地,上饶市,九江市,南昌市,吉安市,宜春市,抚州市,新余市,景德镇市,萍乡市,赣州市,鹰潭市
上饶市,,2964,29523,474,1289,2299,498,4756,371,645,4776
九江市,1888,,46411,1324,2225,1748,1004,2010,509,1342,613
南昌市,8159,17695,,6666,15669,9978,3225,3145,2118,6336,3174
吉安市,867,2841,25136,,4424,1806,2113,179,1103,10664,798
宜春市,1041,3079,43124,3293,,1759,4822,422,2934,1922,695
抚州市,1288,1469,24092,1026,1274,,441,485,167,1699,1891
新余市,368,711,7839,1481,5088,364,,133,846,619,225
景德镇市,4343,2088,8879,88,261,655,76,,34,130,904
萍乡市,342,665,7849,956,4132,351,1497,123,,475,187
赣州市,737,1531,14820,7013,1740,1854,936,280,444,,606
鹰潭市,3760,823,9558,439,792,1980,425,856,221,466,
